id	answer
36	"It's a large, old company that's transforming. Not a new story. Needs to shake off the rust and modernize. Benefits are disappointing, culture is disappointing, organizational structure is very disapp"
37	Senior management has no clue what is going on down on the factory floor. Discrimination in a common occurrence in this company. There is a transgendered employee in the plant that gets targeted on a
38	"Good pay, benefits, upper management treats you professionally Locations that you have to work"
39	extremely friendly work environment real laid back and open enviroment pay could be a bit higher
40	"Good Products, wide coverage, lots of opportunity for business development Horrible people, bad management, poor planning and strategies"
41	"Payscale is on the low end and put the right people in the right places. Also, get rid of the dead weight.. You have alot of old timers who aren't complying with change."
42	Management does not have the power to invoke real changeHoneywell does not pay commissions timely hoping you will give upComp plans were delivered up to 6 months into the yearCommission rates went dow
43	Fun work environment with a family like vibe. Flexible start and end times. No longer being able to Telecommute with out prior approval.
44	"Free cookie at orientation. I'm still on a sugar high. A desire to end my life by eating leaded paint chips, shed from the dilapidated walls of my plymouth, mn micro-cube."
45	Some really smart people work there Not a lot of opportunity for creativity or use of your own mind. Regardless of the internal hype ... they are NOT doing cutting edge HR work here.
46	"easy for under-performing employees to go unnoticed, limited opportunities for growth, few rewards for extra effort"
47	"Many changes in the last few years with less and less focus on customers and employees, more encouragement to bullies and aggressive behaviors."
48	Interesting and challenging work. Open office environment is difficult and distracting
49	Poor quality no one cares of quality.Documents are forged a numbers are just made up on a daily basis.Hard work is penalized quality work is also penalized and you are retaliated on by The Slackers fo
50	I have not encountered any cons yet.
51	"Efficient, Employee Development, Growing in its industry. Salaries could be more competitive."
52	"Checks are paid on time. Bureaucracy, decisions are usually made a lot more slowly as they get passed from pillar to post"
53	"It was a contract position with no hope for permanent role. The co-workers (employees) often gossip. Supervisor was nowhere to be seen less alone available. Never received complete training, had to fi"
54	"They use a lot of outsourcing. This gives you the feeling that your job is never secure. Processes are always changing, sometimes just for the sake of change. The majority of the time there won't be a"
55	They are fair and encourage trying different positions at the same or higher grade level. You may get lock in to one position if you have continued high performanceNone
56	"Too numerous to document all. Honeywell is up to its ""age old"" practice of age discrimination, AKA ""PIP"". I encourage everyone to ""lawyer up""."
57	They do interesting and meaningful work. The people are great. Not so great benefits (health insurance etc)
58	Strong future and outlook for the company. Strong belief in doing more with less. Constant focus on reducing cost.
59	"Too many meetings, a lot of management stuff for indirect employees, environment too big and this make your job harder"
60	MNC working environment with lots of resourcesGenerous remuneration Products are not competitive.Need to retain talented people
61	"The tier system used is archaic at this point and leads to a lot of pointless meetings.Work life balance was awful, if you proved you were useful you would be forced to work 50+ a week while the usele"
62	"good compensation, good benefits package nothing to report of any note"
63	"- Health Insurance. Over $275 every two weeks for family coverage with a $3000 deductible.- No company $ for dental insurance. You can buy it, but you pay the full cost.- Worst employee rating system"
64	"Fantastic Management, they let you fail and there was plenty of room for growth. None at this location. Maybe the plant could use some renovations."
65	"Excellent role and exposure , excellent leadership.Focused and top performing team mates Resources and funding are not given at times for some projects."
66	"Cost of healthcare, constant request for revenue regardless of project status, direct management is powerless to upper management, ""if you are not working atÿleast 60 hrs a week, then you are not work"
67	Diversity of work and ability to work on very challenging programs. Honeywell is big on outsourced workforce and promoting/hiring foreign workers instead of Americans.
68	A macro management style company. Have open policy to let employee expose to other technology in the company. Lack of training program for new hiring.
69	1. Every employee action they have taken in the last 15years is to the benefit of stockholders at the expense of the employees.2. They look to outsource every job they can with the exception of manage
70	Good manager. Decent starting pay out of college My department was terrible. The only 2 decent employees transferred out just before i left.
71	"Outdated product and no commitment to investCompetition is beating them easilyLack of leadership, all the leader roles are open, and sketchy commitment to fillUncertainty if the business is viable and"
72	Benefits get worse every yearIncentives for high performance are laughableHigh deductible health plan with no relief premium reliefPoor accountability
73	"Very high pressure and daily challenges. Leadership appropriately pushes people to move past their limits. Very global workforce is a bonus, but can lead to some challenges as it matures."
74	Work environment is bad. Loud environment working with led and gunpowder is not fun. You are very dirty by the end of your shift. Long work hours
75	"Upper management is as crooked as a politician. They take away benefits at every opportunity and when they're shamed into doing something remotely positive, they find a way to make everyone feel worse"
76	lousy and inexperienced managerno formal trainingexpected to know everything and given little time to learnit's not just about collections you are expected to fix and be responsible for problems creat
77	"Less stable than it used to be. Lot's of uncertainty with the recent announcements about spinoffs.Like any large corporation, making the numbers every quarter is key. This can be counterproductive to"
78	Good work environment with many projects. have to wait 6 months before you can participate in 401k
79	"Friendly, understanding, committed to excellence Extensive paperwork. Have to prove what work you have done."
80	Good first job. Lots of room for advancement. Declining company morale. Riffs/furloughs/etc cause the talented people to leave and go to the competitors.
81	"Management does not care about the employees. mandatory furloughs with one weeks notice. Monthly lay offs. They are out of touch with reality. Benefits are very expensive and go up in cost, an down in"
82	Benefits-Wages are below industry standardsHealthcare is very expensive and covering less every year$1000 yearly penalties for not participating in Company Health Assessment program.Vacation policies
83	Training and Career Development are positive Highly Stressful with turnover in leadership
84	Hours Flexibility and good training system. Working remotely so kind of difficult to understand the operation.
85	currently no pros that come to mind reduced benefits in recent years
86	"Extremely professional environment, but fun! Organized from day one, well structured processes. I have not yet experienced any cons yet."
87	The work load is acceptable No remote work is allowedHealth Insurance is lousy
88	"Declining benefits year over year, EVERY year. No 401K match per pay period, now annual lump sum in January, if and if you are employed on Dec 15th. So RIF's will now be commonplace the beginning of D"
89	"People, structure, pto, vacation time Promotions are very difficult to obtain"
90	"Chaos, furloughs, RIFs, the WORST healthcare ever. No raises, outsourcing of key touchpoints with the customer. No work from home anymore"
91	You will be worked like a dog. No one will appreciate that you are working like a dog. You will have to guilt them in to a raise of your base pay. Which you will need to do when you find out that the
92	Repressive self centered focus leaves this a company to avoid New ceo every 4 months
93	"Pays well, good life-balance, flexibility, depends on your manager, unlimited vacation, conscientious co-workers Not so good medical coverage, bureaucratic bottleneck so slow to get things done"
94	"Pay, benefits, location, colleagues, experience Medical is expensive, no room for promotions or growth, management, capital management"
95	"Not at the moment, could be a lot of work and pressure but that comes with most jobs."
96	"Great product lines, huge opportunity for both vertical and horizontal movement. Initial training process is slow, hard to know everyone you work with,"
97	"Great people, good 401k, advancement opportunities Security, but it's needed. Parking."
98	"none, no one, there is not any all, no growth, greeds, salary reductiono"
99	"Raises are a joke, benefits are nonexistent, Less than zero support from corporate. Dead end if you don't have a four year degree because any management position requires one. Most sites are treated l"
100	Employees are great to work with. Many furloughs = pay cuts for all. RIF reduction in force makes unhappy employees.
101	They really take care of their employees Noting at the moment. Great place to work.
102	Better than not working anywhere knee jerk management. Poor decision making ability.
103	Left alone. Not very ready for first day. So many services can be overwhelming for the inexperienced. Nothing that can?t be overcome or easily improved.
104	You will likely be sent home for a week with no pay to ensure the VPs get their bonuses.Plans for Quarterly or Ad-hoc Reductions in Personnel will be efficiently executed to ensure the VPs get their b
105	Great place to work for None so far. I have yet to get started
106	"big company, more opportunities, good benefits big company, many politicians, especially in senior management team"
107	"They make every attempt to accomodate your schedule, to balance work and family. In some cases performance and reward are not really co-related."
108	"Honeywell moved our jobs to Mexico to save a few dollars, sacrificing good people who put care into their work"
109	"Let's be honest--Honeywell simply doesn't care about it's employees. No more ability to work from home. Instead, they make us all sit in an awful open floor plan that looks like a prison yard and make"
110	Exciting and challenging design projects. Poor benefits relative to other technology companies and unable to retain young engineering talent.
111	Good workplace environment and facilities No training provided for the new employers or interns
112	"Strong meritocracy, inability to make your own decisions-command and control management style. Too many corporate staff. Continually in a cost reduction mode, furloughs, merit increases, regular RIFs."
113	"No one cares about employees,Lay offs frequentManagement directionlessLittle to no autonomy in jobPay is too low compared to other firmsBenefits are non-existent"
114	Well defined roles and systems Large company with many processes to follow
115	Competitive salaries and good benefits Poor salaries and good benefits
116	The industrial design management is horrific and created a toxic work environment. ID management's style is essentially a bat about the head and neck. ID management uses verbal abuse as the primary ma
117	-No advancement opportunity-Bonuses go only to the higher up managers who take credit for their direct report's work-Terrible leadership; they do not lead by example-HPD is not giving everyone an accu
118	Global company offering challenging work and collaborative environment Global collaboration makes for long hours
119	FurloughsLayoffsBureaucracyScapegoat cultureReactive versus proactiveHoneywell will not pay out on big dealsDoes not value its people as assets but rather commoditiesBait and Switch on the comp plan
120	Good environment Good installation good benefits not development people stay on same positions for a long time
121	flexible vacation and 3 floating holidays micro managing of the employees
122	"No healthcare options.They give you two ""choices"" with the same exact costs and coverage??? The costs are insane to the employee. They pay no part of dental, so you get to pay for all the insurance yo"
123	"Work Life Balance, schedule was great There were no cons, they are good to employees"
124	"Generally, a toxic atmosphere reigns over the south bend plant. The recent lock out grew tensions between salaried and hourly union workers. Leadership seems to hold onto incompetent workers. Deviatio"
125	Large growing company. Many resources. Does not value home Life work balance. Does not care about the employee only the bottom line.
126	"Management thinks employees are complete idiots, trying to tell us ""to improve employee loyality"" while making a cash grab from the employees by holding all the 401K matches until next year. They even"
127	"Very few. Some smart people left but not for long No focus on people, innovation or long term. If you want to drive short term profits and want to focus only on numbers, this is your place."
128	the people are great to work with too much out sourcing to China
129	"Where should I start? I've been with this company for 14 years. I watched as former CEO Dave Cote completed several acquisitions, only to then watch the company ""spin off"" two divisions into new compa"
130	"Occasional discounts on Honeywell products Layoffs, high stress, low rewards. Disaster of a company that will implode."
131	Work life balance has been very good. Opportunities to move groups throughout the company are seemingly endless. Poor job of developing talent.
132	They have great benefits and insurance The culture is not great
133	lots of opportunity for growth. had a manager that micromanaged
134	Insurance was terrible. Worst insurance is the city. Pay is below average. Raises didn't even keep up with insurance hikes. 401k lost an annual %5. Was taking home $200 less per check four years after
135	Eroding benifits for employees. Antaginistic environment for employees. High attrision and no back filling leaves an overworked negative enviroment. Employees are running to leave.
136	"Good industries, Good positions etc Poor leadership, Old rules, Slow"
137	"Honeywell is running this company to the ground. Doesn't care about employees, constant layoffs, furloughs and hits to employee benefits. Any and all jobs are outsourced to countries like India, Mexic"
138	"- Honeywell views employees as liabilities. They cut back benefits at every turn. For example, they just announced that 401K match will be given only at the end of Jan of each year (lump sum). You los"
139	Good salary from long term employment Constant reduction or removal of all benefits. Unrealistic production schedules. Pessure to maintain schedules. Non value added bureaucracy.
140	"Good engineers keep waiting to get noticed, promotions in Puerto Rico have become slow, almost halted across many teams even when they are going above and beyond their current roles for less than nati"
141	This is a big company. No accountability from managers when being dishonest or using unethical practices. This company has the worst health and 410K benefits.
142	"- Furloughs.- Spin-offs.- Base level structure is practically non-existent.- While the salaries might seem nice, don't expect any other benefits, bonuses,raises or any other type of monetary/morale bo"
143	Many career options due to the large size of the company. Many great employees working there. Benefits are expensive. Transparency is lacking post acquisitions. See management comments.
144	"The compensation is fairly decent. Micromanaging Culture, No Work Life Balance, Terrible Management, Terrible work environment"
145	They do not look out for employees. RIF's (Reduction in Force) are occurring frequently. New 401k Matching contribution changed. Now instead of getting the match with every paycheck you ONLY get it on
146	Terrible work life balance. Micro-managing. Horrible benefits. They will be lucky if the same planners are around in a year. Extremely short staffed even though we are considered fully staffed. Everyo
147	Advanced technological work.Quickly increase in responsibilities under the right managersClear reviews Stagnate at position levelMoving most work offshoreHigh level of workforce close to retirement
148	"I work about 12 hours a day only Friday, Saturday and Sunday. Love my days off. Feel like the hours is to long in a way."
149	Best place I have ever worked Worked there throw a temp. Agency
150	"Work/life balance can be poor sometimes. Pay can become low for senior employees, there?s is not a lot work flexibility you will expect when are an exempt employee."
151	"Great people, innovative tech, amazing experiences Work life balance and policies"
152	"good perks & good package location not so good, far from CBD"
153	"Great place to move up in your profesional carrier, good and smart people to work around Travel restrictions , hire freeze, furlogh and down sized"
154	"Management, Waldren specifically, have no interest in the employees. They outsource everything to the lowest bidder which ends up delivering bad products. Little to no raises. Furloughs even though th"
155	"Employees growth, cuvation and recognition Unfair-Supervisors hiring their friends and family."
156	Demeaning work environment. There is a constant effort to remove any benefit - no matter how small - from employees and offshore everything.
157	Great team to work with Large corporation process and procedures
158	"Good people, great corporate environment Costly health insurance that is difficult to afford"
159	"Management is reasonable, flexible with time. Pay is good. Hours are good. Benefits are not great. Deadlines are sometimes aggressive. Generally a reactive environment rather than proactive."
160	Diverse portfolioGreat LeadershipWell managedStock is strong Poor benefitsSlow in innovationOld workplaces
161	"Honeywell is still growing out of ""old"" corporate culture. There are times when you're working on something that should seemingly be easy, but you're hit with a roadblock that may take longer than you"
162	"Management is slow and seems to undervalue it's employees. I've seen a lot of engineers leave in my time, and I've heard of many not being properly evaluated. Pay needs to be on par with aerospace ind"
163	"good pay, unlimited vacation, and gym on site expensive benefits, old facilities, and no promoting in place"
164	Very high expectations to perform at standard. Lack of remote working is not keeping up with the trends of a ?software? company. Change is constant. If you aren?t flexible this isn?t the place for you
165	Decent health care benefit coverage Company is making there employees feel more like a number
166	"Management seems to advocate ""bullying"" by superiors.Benefits are substandard - healthcare is really expensive and basically only convers major medical.Management does not allow remote working so ther"
167	Management plays favorites. Constantly going through riffs and layoffs. Even when we have a great year there will be layoffs. It's just management trying to meet their bottom line. Cost of living rais
168	"great exposure to the Aerospace industry, plenty of room to grow. Myself and plenty of other people I know are overworked."
169	Name recognition and diverse product portfolio Industrial division is run very badly
170	"Health insurance is expensive, currently I don't think the company covers any percentage on the premium for its employees. If Honeywell covered 100% of health insurance premium, it would make employee"
171	"benefits seem to be getting worse and worse, inconsistent expectations department-to-department in terms of required busywork, no gym on site, book stores are in limited locations, so some discounts a"
172	Great work atmosphere and learning environment. Not enough exposure to other sectors of the company
173	Continue to furlough employee's regularly along with downsizing. Our revenue is increasing but we are not making unrealistic projections. This makes the company take short sighted approach to operatio
174	"Although the pay is very good, so is the work pressure. Also, since this is the new facility, this place has not been organized well. Some of the mid-senior folks get paid almost same as the entry lev"
175	"Lots of room to grow and develop in current or expanding roles Employees often are forced to do more with less. Key positions are often not backfilled or are converted to ""multi-site"" roles"
176	"Pay, people, close to home management, vacation policy, working environment"
177	Sometimes too large of a company is hard to stand out. Need to continue to network and work on projects outside your own area.
178	Great Place to work Work load is a bit too much
179	An organization that has gone from being great leadership to negative leadership to abusive leadership.
180	"Large company, opportunities to grow Large company, can be political"
181	I've only been there a couple months. People are great. Company seems to empower it's employees. The healthcare benefits could be better.
182	Provide appropriate work / life balance. Need to improve methods for securing future business opportunities.
183	I haven?t experienced any issues.
184	"Great people, fairly decent benefits although they are beginning to draw back Management non-cooperative with front line people"
185	Pay was a little better than average. Promised benefits disappear like magic.
186	The current aerospace climate has created a lot of unsteady work for the employees. There have been a few furloughs followed by lay offs and restructuring . This leaves the weight of work on good peop
187	Direct manager a micro-manager (at times) then completely hands-off (other situations). Manager and director in my work team took no responsibility for projects going sideways and set unrealistic targ
188	"Executive Leaders manage by fear and intimidation. No work-life balance, can't work from home and expected to work 24/7. Routinely micro-managed with no empowerment to make decisions and nearly all de"
189	"Health benefits are horrible, don?t plan on having a child on this policy. Little to no bonus depending on your position. Yearly raises are barely keeping up with cost of living increases. Very high e"
190	I learned some good process while I was there. I think the pay was averagely good. Does not treat people great.
191	Job security is good. You get to work with excellent scientists & engineers. Not much career development opportunity.
192	"Middle management wasn't the greatest after long standing managers left the company. After I was let go, employees were told not to contact me. Did not offer to relocate me when I switched contracts t"
193	"good pay , nice people swing shift , hard for new people"
194	Great coworkers - Program teams try to work together Too much focus on metrics and driving the gain for shareholders
195	"Wages were good, benefits were alright, management was hit or miss. HR was a revolving door, same with upper management. Very Us VS them mentality."
196	not allow work remotely. work outsource to other countries. keep cuting benefits. fear of layoff all the time.
197	good work-lift balance and good benefit nothing too bad to share
198	"Gov clearance waiting period is slow going, limits what you can do.Tons of computer based trainings.Managers don?t know what some of there employees do."
199	"Everyone is overworked and not getting paid for overtime, management kept telling the team the project has no money but requires us to work extra hours. The unlimited vacation is a joke, you get cruci"
200	Many leadership roles require long days and weekend work.
201	Great techs to work with. Management never worked in the field.
202	Great benefits and great bosses Requires a lot of training
203	Great company with possibility for growth Non flexible work hours. Benefits package was lacking
204	"Pay is on the lower end of competitive. New management came in with little understanding of the technical side, and didn't listen to employee's input. Only focus was 5S lean programs."
205	Impersonal treatment from upper management. CEO has expressly stated that work/life issues are not a priority. Expensive insurance. Upper management has problems prioritizing and controlling large pro
206	"Can be bureaucratic, wants to become a lead in software industrial but does not invest in strategic branding."
207	"Office Politics, eat or be eaten attitude, not respectful of work/life balance , lack of local executives in country they all come from the US"
208	There have been a lot of leadership changes over the past few years which means a lot of strategy and organizational changes for employees to adjust to.
209	"International aerospace company with a lot of growth potential, good pay, decent benefits, good people and important products Same problems that other large, supplier dependent companies have"
210	"HOS, Six Sigma Lean training. Decent work conditions. High 1st year revenue hurdle for new products."
211	Well defined process and better pay I was always a happy employee in Honeywell
212	it's need you had ability to manager yourself always feel waste time to work in it.
213	"Wages are stagnant. Benefits are continually eroding, and local HR has zero pull to make any changes.Engineering organization is split into multiple silos, with competing metrics. Result is fragmented"
214	"Great co-workers and pay is good for Rhode Island Their philosophy has changed. They no longer view employees as assets, we are now an expense that needs to be reduced."
215	"Good environment, supportive Manager, friendly colleagues and enjoyable work Benefit is not good. Lack of internal promotion"
216	"I will add feedback here if I find a con but, for now, it's been a fantastic experience in every way."
217	"Unlimited Vacation, Advancement Opportunities, Co-Workers,Life Insurance Lack of telecommutingBusiness decisions don't always consider the impact"
218	Pay is low. Super long hours. Expect to work weekends. Cash is king. Folks r very stagnant and very set. No need to improve what they're doing. Very little automation.
219	"close to home and convenient for me low moral, work ethics questionable"
220	"Ongoing benefits erosion, arguably, or not, consistent with the rest of the industry."
221	
222	"Honeywell is constantly downsizing, so workload was always increasing without compensating for extra time. The stress of the constant rounds of furloughs and layoffs was demotivating, coupled with Hon"
223	Its a job and pays the bills. Last year 2016 we had 3 Furloungs. Some managers are just not right for the position. HR repesentative for ISC is not the appropiate person for the job
224	Good place to work and good management. Can't think of any at this time.
225	"Micromanagement, so risk adverse there are 10 levels of approval then they wonder why you can't hit deadlines. Over the past 2-3 years SPS has endured RIF's, hiring freezes, furloughs, no merits - kee"
226	"Good Benefits, decent salary, opportunity to advance. I don't have any cons to list."
227	"Great Company to work for Honeywell does not invest in their office decoration, everything was old and outdated"
228	"Great atmosphere, decent pay. Flexible hours Everything is moving out of the country."
229	busy all the time and lots of metrics to report Lots of laid off and outsourcing of jobs
230	There has been a consistent decline in benefits and the work environment. Previously stability of the company would have been a positive but in recent years there have been many furloughs and Layoffs.
231	"hard to advance a career, very top heavy, way too many managers and meetings, very little people to do the work. The resources that are available are in China or India. Doesn't hire engineers statesid"
232	"Projects at Clearwater Space are for space flight. Authoritarian management style, lack of clear direction in production, frequent furloughs and layoffs, and only a high deductible healthcare plan."
233	Decent pay and vacation time No perks such as Christmas parties or retirement gifts etc
234	"Advanced technology, innovative industry, successful business Overly traditional, Outdated work space"
235	Promise you things you will never see. Micro manage you to death
236	Benefits were not that great.Open space/ non designated desk office set up is really distractive and it could be really annoying when people don't respect others sitting in the area and take calls at
237	Many great people who have been there for a while and are helpful Management style and culture have changed no longer a people focused company
238	Not a lot of benefits. Medical insurance is below of what other companies in the areas are offering. Expectation to work above the 40hrs and make up for time spent on non work related activities (yiel
239	Nice friendly people that helped make the onboarding process smooth and easy. HR very slow to respond
240	"Effort by managers to keep employees happy and productive. Fair salary. Horrible benefits, lack of wage matching compensation, keeps managers hands tied, extensive chain of command,"
241	"Great company with an extraordinary vision and products Aging upper management that ""don't want to rock the boat"""
242	Work/Life balance. Flexible work environment. Health benefits are limited. High premium and deductible.
243	A Good company to work for. Salary compensations for folks starting with smart startups is an issue.
244	"Very top down. Head executives involved with low level decisions. Incentives don't match expectations. Leaders are ""value stock"" executives that don't know how to invest as a growth company."
245	Honeywell values shareholders over employees. They are also in a constant state of reorganization which makes is difficult to feel like you are ever making forward progress.
246	Good work / life balanceDecent 401K Bad raises / promotionsHorrible Insurance
247	the people were very knowledgeable benefits were good at all
248	They are a modern technology company The benefits package gets worse every year
249	engineers might like itget compensated ok Leadership not aligned with values and doesnt care about individual contributors. No Planning
250	Great opportunity for advancement and learning Not close to where I live but that's not their fault
251	Fairly centralized with less responsibilities for regional leadership.
252	"Good Salary and work life balance, depending on program you work on. Poor benefits and raises. Hard to get promoted. Endless processes and procedures that add no value."
253	Don?t expect to be paid what you are worth. Honeywell is consistently going through organizational transformation and chews through its general management/leadership. Very little employee recognition
254	"Management too hung up on ""meeting roll down goals"" to actually lead. ""Walk the Talk gentlemen""!! Employees need actual motivation other than artificial goals created at review time to pat ones-self o"
255	High technology products and system applications restrictive policies limit growth opportunities for technical staff members
256	You are constantly challenged to excel which makes you better A High pressure work environment
257	"excellent balance work family and professional life so far so good, minor improvements specially on the transitions"
258	They treat people like tools and numbers. You're always two levels removed from anyone who can make any decisions and they hide behind the rules they make up.
259	Having the name Honeywell on your resume Actually working for Honeywell and having their super expensive and ridiculous health insurance.
260	Mobile is a terrible city to live. Corporate management live their lives for shareholders and stock market. Sold their souls to money. Put less qualified people in upper management that have no idea w
261	Treats employees as necessary evils and costs to be minimized. Annual erosion of benefits. Worst of all is the intellectual property agreement that you probably won't see until the day you actually st
262	"work hard and a lot of doors will open internal politics, very US centric"
263	"Stable company, good long term projects. Can work on many areas working in a single project. Little older than cutting edge technologies."
264	Career prospects are limited. Aerospace is cyclical in general. Low growth and mature technology. Cost cutting is the name of the game to boost margins. Little investment is made in facilities and peo
265	"Good Culture, great employees. Fair pay. It's a global corporation looking at the bottom line."
266	Lots of benefits taken after union talk a few years back. Raises are terrible and new people being trained to train the older regular people. The new people are running the show and the quality is not
267	"Good work/life balance, great people to work with, nice office Need to improve benefit plans"
268	They pay a decent wage. Benefits get worse every year. Management does not care about the employees. You must get the product out the door by any means possible (even when you ethically should not)
269	#NAME?
270	Flex time is a great plus unrealistic expectations from management a lot of times
271	Wonderful experience. Got to learn to learn a lot. Great people around to work with. No Cons. Enjoyed the experience
272	No consistent metrics to be evaluated on.People in management have never done the job they are creating rules and processes for.It's a punishment system. One mistake wipes out virtually all of the pos
273	1940s Autocratic SPS President - John Waldron.....thinks he is the smartest guy in the room. Rumor has it that he rose through the ranks due to relative nepotism.
274	-Great work/life balance-9/80 work week-flexible schedule-opportunities for growth
275	"Challenging work, 401K, a lot of opportunities. Difficult to balance work and life."
276	"Plenty of Opportunities to explore, Various kinds of job roles in various finance disciplines Hard to jump roles within."
277	"But, isn't forcing me to pay $1500 dollars a year if I don't allow a third party to have access to me or my spouses biometric (medical) test results a HIPPA violation? Not sure how that can be legal."
278	Good place to be sometimes Same as above. Can be good.
279	"Quite a few times, I heard the phrase your paycheck is your reward. Overall, pretty much not friendly to their employees. There is very little if any rewards you can give your employees or get yoursel"
280	"best perks,medical leave,gratuity are good part. management needs improvement.ethics should be established"
281	Big Company lots of room for growth Lots of change going on.
282	"Decent salary, Good work environment, friendly co-workers, room to grow, good benefits Corporate greed started to show through and letting go of key players in the business very much affected morale"
283	Job security and good work aenvironment salary can be increased more.
284	Many inefficiencies and gaps in processes/functions/capabilities across multi-national teams makes it hard to get things done and avoid disappointing customers.
285	"Immediate manager was out of touch with my job scope and my happenings in the field as he never spent time in the field (straight out of college, into engineering, and management). Other higher manage"
286	"Negativity. The more you ask questions, the more you will learn. To myself, I feel it is extremely important to do so."
287	"Big company, various opportunities for the right fit CEO froze salaries, 10-15% layoffs and made to work 2 weeks without pay"
288	Pay.. pretty good based on the average not enough supervisors... each supervisor works close to 65 hours a week with no overtime
289	1. Too many hours required to put in to get good results2. Teams are spread worldwide. You get flexibility but your workday has no set schedule and end - start your day at 5 am and go on till midnight
290	OSHA VPP star rated safety program lack of support from corporate and site level leaders
291	Flextime is a nice perk benefits are getting worse every year
292	"Medical, Pay, Easy Work, Nice people, good training 401K, Raises, Hard to make Rate, Recording hourly rate"
293	Good experience working on MIssile/Satelite navigation systems The aerospace /satellite business is in a down turn. No job security.
294	Corporate structureHoneywell is well known a good brand Health care benefitsTakes a long time to get promoted unless stars align in your favor
295	Great people and a descent environment. Pay is competitive. Very resistant to change. Slow moving on a lot of fronts. Lacking good communication between businesses.
296	"The benefits are excellent, and their safety program is phenomenal. Haven't found anything yet, but the acronyms are pretty tough."
297	"Fair Pay/Good Benefits. Challenging work! Dirty Industrial environment, Physically-demanding job"
298	Can't think of anything positive Unethical. Treats employees like trash. An abusive relationship that will haunt you.
299	The companies relocation package is very convenient. Also they did provide some aid during Harvey The benefits are mediocre at best. Also travel is a no go here. Investors are the only priority.
300	"I received a pay checkOk benefits if the rules were followed (have bio-metric screening or surcharged) Metrics are king.Daily work was ok, but the weekly beat-downs were tough."
301	Meeting new people for the first time and hoping that they will be friendly . But it's hard to say but I have to be positive
302	Pay was good and 401k was good. Most of the people you work with are good Some people can be very difficult to work with and production is always priority
303	"Management is cluelessToo many internal meetingsHorrible benefitsCorporate causes too much red tapeNothing efficientClaim to want to watch expenses, no internal travel, yet Corporate constantly requir"
304	"If you are going into software looking for a fancy skyscraper office looking out over a city, this isn't exactly it. You will probably get your standard cubicle, although the equipment provided is pre"
305	"there really were no real negative things to say about this organization, they seemed to really care about us and provided competitive pay and benefits. I liked working there"
